type,antigen,x,y
AG,NL/118/01,-2.5289170706,-10.6944607806
AG,NL/126/01,-0.992241921719,-10.6888615143
AG,NL/1/02,0.105159015435,-11.4913060844
AG,NL/120/02,-2.48645491225,-10.0963773086
AG,NL/18/94,3.25447825637,-4.55018709333
AG,FU/411/02,-3.17657912937,-14.8785134197
AG,NL/22/03,-0.151707272631,-14.0376775396
AG,NL/213/03,-1.58729650084,-12.717525514
AG,NL/217/03,-2.06755105597,-13.9653993267
AG,NL/222/03,-1.22094113659,-13.1194574274
AG,FI/170/03,-2.15038732869,-13.4455804966
AG,NL/124/01,-0.953404478539,-10.9915772091
AG,NL/20/03,-1.25338341785,-10.2530230872
AG,HK/1/68,6.27707933458,13.895044285
AG,HK/107/71,3.92525132393,15.5149985286
AG,EN/42/72,2.74012662608,13.2486153399
AG,PC/1/73,0.503105582783,13.1753330365
AG,VI/3/75,0.13744650775,10.5748701933
SR,HK/1/68,5.62681281374,14.1024349153
SR,EN/42/72,3.95686407631,11.8512163402
SR,PC/1/73,0.699818881069,12.2388840471
SR,SL/840/74,-1.05033568287,13.8397909521
SR,VI/3A/75,2.14059279407,9.52712883876
SR,LE/360/86,-2.97842982916,4.69543710787
SR,TE/1A/77,-2.76942366105,8.21166042946
SR,BI/21793/72,2.55841602737,13.2221113839
SR,BI/5930/74,1.08725620116,12.4156535489
SR,AM/1609/77,0.210902741028,7.09966240244
SR,BI/2461/78,-4.81781951016,7.50778731303
SR,RD/577/80,-6.03477858869,7.58118391308
SR,NL/209/80,-4.87330622073,7.7298212466
SR,NL/233/82,-4.35078927109,7.59598027454
SR,NL/241/82,-4.67802972945,7.26300063549
SR,NL/330/85,-2.23281781728,4.94552628732
SR,ST/10/85,-2.18258541615,4.04215321479
SR,NL/450/88,-0.861131335278,2.50915620746
SR,VI/2/90,-2.69293766224,-0.467488158418
SR,LY/1149/91,-1.3590963578,-1.75750694681
SR,MA/G252/93,2.67954223135,-6.42289139964
SR,NL/1/95,5.18290756029,-6.18172675322
SR,NL/218/95,4.04094013141,-6.49384469172
SR,NL/172/96,1.31233923375,-7.48610550698
SR,BA/1/79,-5.88467925462,6.67557382355
SR,PH/2/82,-5.32298246321,6.74326194998
SR,CC/4/85,-3.26187457729,6.04038331262
SR,WE/4/85,-1.71618098613,3.61709892694
SR,VI/7/87,-1.77231673784,1.30109195786
SR,SI/2/87,0.0603700674211,3.16504060266
SR,TE/1B/77,-3.44579752616,8.8907758253
SR,BA/2/79,-3.6321757988,5.5761758382
SR,EN/496/80,-5.64762041681,6.96856994579
SR,NL/333/85,-3.23089630983,5.61853825886
SR,CE/1A/84,-3.21360605743,5.51666046944
SR,CE/1B/84,-1.74607126791,3.81517110948
SR,CO/2/86,-2.14081494585,3.30220372416
SR,SH/11/87,0.740835441941,3.32938800998
SR,NL/620/89,-0.776274638929,1.18651524415
SR,GU/54/89,1.14222543445,2.43536575172
SR,BE/353/89,-0.837154233455,-0.858400203457
SR,BE/32A/92,3.07889796205,-3.21550322784
SR,HK/34/90,2.41355989662,0.127686100999
SR,BE/32B/92,2.83626181561,-2.27577931856
SR,SD/9/93,3.70002740987,-3.9059413348
SR,OS/2352/93,3.9926048133,-4.16582542743
SR,PR/413/94,3.63182459959,-5.85399942588
SR,GD/25/93,5.79574889076,-7.26878360641
SR,JO/33/94,5.21453813008,-6.83797078918
