name,year,cluster,type,x.coordinate,y.coordinate,location,lat,lng
SI/2/87,1987,SI87,AG,1.1361156897,3.93970981379,SICHUAN,30.86,104.18
VI/7/87,1987,SI87,AG,-3.08097272392,1.38446457939,VICTORIA,48.4333,-123.35
AL/4382/82,1982,BK79,AG,-4.06938708048,6.17695249876,AUSTRALIA,-33.92,151.1852
LY/2380/81,1981,BK79,AG,-3.8772256585,5.84991105657,LYON,45.77,4.83
BI/4791/81,1981,BK79,AG,-3.21262519938,5.9661197449,BILTHOVEN,52.14,5.02
BI/10684/82,1982,BK79,AG,-3.56749348546,6.44703659156,BILTHOVEN,52.14,5.02
OS/13676/83,1983,BK79,AG,-4.11001985226,5.93886921459,OSLO,59.9167,10.75
NL/333/85,1985,BK79,AG,-1.55661870713,5.50800625819,NETHERLANDS,52.08,4.27
BA/1/79,1979,BK79,AG,-5.95302728513,5.43675958284,BANGKOK,13.75,100.5166
PH/2/82,1982,BK79,AG,-5.52398658834,5.4384159092,PHILIPPINES,14.6042,120.9822
CE/1/84,1984,BK79,AG,-1.77170160708,5.67883731254,CAEN,49.1838,-0.35
LE/360/86,1986,BK79,AG,-5.16918239171,3.14278865076,LENINGRAD,59.94,30.37
VI/1/88,1988,SI87,AG,-3.66869578888,1.83434505771,VICTORIA,48.4333,-123.35
CC/2/88,1988,BK79,AG,-3.92483614251,3.14566879938,CHRISTCHURCH,-43.535,172.63
ST/12/88,1988,SI87,AG,-0.531227563768,2.74014177059,STOCKHOLM,59.3508,18.0973
EN/138/89,1989,SI87,AG,0.110174291786,2.22560771006,ENGLAND,51.49,0
EI/3447/89,1989,SI87,AG,0.0373321669258,2.07972751447,EINDHOVEN,51.43,5.5
EN/427/88,1988,SI87,AG,0.306243792575,2.75966186513,ENGLAND,51.49,0
GE/5007/89,1989,SI87,AG,-0.0574542035645,2.27902441813,GENEVA,46.21,6.14
WE/3/90,1990,BE89,AG,-2.05716465741,-1.45493457115,WELLINGTON,-41.3,174.7833
WK/1/89,1989,SI87,AG,0.382290548259,1.53101570509,WAIKATO,-37.64,175.09
AT/3572DASH5/88,1988,SI87,AG,-0.765040034425,2.75175231042,ATLANTA,33.7627,-84.4225
SH/11/87,1987,SI87,AG,2.1559511562,2.77728642677,SHANGHAI,31.2165,121.4365
GU/54/89,1989,SI87,AG,2.48962650143,2.55676442026,GUIZHOU,26.65,106.63
HK/1/89,1989,SI87,AG,-0.236371055513,2.36183903844,HONGKONG,22.33,114.17
NL/650/89,1989,SI87,AG,1.77014788858,2.71963397008,NETHERLANDS,52.08,4.27
NL/738/89,1989,SI87,AG,2.34754238033,3.6489393861,NETHERLANDS,52.08,4.27
SP/35/89,1989,SI87,AG,0.24489672824,1.63973135993,SINGAPORE,1.293,103.8558
SP/40/89,1989,SI87,AG,-0.31065804852,0.441701204007,SINGAPORE,1.293,103.8558
WE/5/89,1989,SI87,AG,0.890809621802,0.73251511188,WELLINGTON,-41.3,174.7833
ME/2/90,1990,SI87,AG,0.336134932476,2.64332286746,MEMPHIS,35.1046,-89.9773
SU/1/90,1990,SI87,AG,-0.258728445388,2.28559296268,SEOUL,37.5663,126.9997
VI/33/92,1992,BE89,AG,-1.8973754818,-0.567266830355,VICTORIA,48.4333,-123.35
NL/891/91,1991,BE89,AG,-2.33663585505,-1.06072207956,NETHERLANDS,52.08,4.27
CA/1/91,1991,SI87,AG,-0.936311728791,2.66538683364,CANBERRA,-35.283,149.129
EN/260/91,1991,BE89,AG,-2.89985929239,-0.734532004489,ENGLAND,51.49,0
EN/261/91,1991,BE89,AG,-0.729282218638,-2.44219559672,ENGLAND,51.49,0
MA/G12/91,1991,BE89,AG,-2.92847589203,-0.802510190621,MADRID,40.4,-3.6834
NL/816/91,1991,BE89,AG,-3.18743777682,-0.751534616676,NETHERLANDS,52.08,4.27
AM/4112/92,1992,BE89,AG,-2.00464768962,-0.924317006818,AMSTERDAM,52.35,4.9166
ES/1285/92,1992,BE89,AG,-3.24294442347,-1.04487799881,ENSCHEDE,52.22,6.89
FI/220/92,1992,BE89,AG,-3.56594555588,-2.50015836916,FINLAND,60.1756,24.9341
MA/G58/92,1992,BE89,AG,-1.92284168539,-1.79102522881,MADRID,40.4,-3.6834
